iter	Logloss
0	0.6776647103
1	0.6638978519
2	0.6508653718
3	0.640757478
4	0.6289343829
5	0.6175993767
6	0.6071733634
7	0.5977811064
8	0.5888829217
9	0.5809631426
10	0.5737395215
11	0.5672179103
12	0.5601923285
13	0.5547359693
14	0.5485315199
15	0.5429349118
16	0.5380056941
17	0.5329093492
18	0.5283012857
19	0.5240772805
20	0.5206230941
21	0.516840514
22	0.5133865712
23	0.5098387987
24	0.5069467286
25	0.5043240215
26	0.5016750463
27	0.4989194678
28	0.4962310419
29	0.4943479223
30	0.4919609254
31	0.489939114
32	0.4884874537
33	0.4865617393
34	0.485143315
35	0.4834291089
36	0.4820853465
37	0.4807443192
38	0.4791766635
39	0.4783084385
40	0.4772967194
41	0.4764265683
42	0.4752981963
43	0.4741453056
44	0.47292226
45	0.4721376374
46	0.4714530523
47	0.4704849284
48	0.4694283436
49	0.4685102895
50	0.4678849327
51	0.4672277629
52	0.4665027223
53	0.4655560352
54	0.4650075515
55	0.4643826852
56	0.4636404931
57	0.4630844733
58	0.4622608173
59	0.4616380127
60	0.4609224784
61	0.4604314894
62	0.4599556974
63	0.4594492836
64	0.4588666858
65	0.4583041159
66	0.4577994446
67	0.4574636998
68	0.4571905777
69	0.4568472269
70	0.4564295569
71	0.456005021
72	0.4555801148
73	0.4551541207
74	0.4548360008
75	0.4545166253
76	0.4542358111
77	0.453902408
78	0.4536319488
79	0.4533376233
80	0.453127002
81	0.4529047852
82	0.452632637
83	0.452280702
84	0.4519576178
85	0.4516930424
86	0.4515006615
87	0.4511989361
88	0.4508479982
89	0.4506210797
90	0.450430903
91	0.4502631516
92	0.4500199237
93	0.4498142175
94	0.4496389859
95	0.4494694249
96	0.4492192523
97	0.4490177462
98	0.4488307687
99	0.4486244344
100	0.4483876248
101	0.4482178819
102	0.4479684798
103	0.4478189806
104	0.4476381818
105	0.4474168984
106	0.4472698036
107	0.4470716245
108	0.4469061193
109	0.4467017144
110	0.4465125108
111	0.4463364377
112	0.4461623275
113	0.4459750613
114	0.4458433326
115	0.445684506
116	0.4455433984
117	0.4453536885
118	0.4451862877
119	0.4450743293
120	0.4449223013
121	0.4447728646
122	0.4447206071
123	0.4445404836
124	0.4443802982
125	0.4442822481
126	0.4441153287
127	0.4439410158
128	0.44380658
129	0.4436779535
130	0.4435324872
131	0.4433608093
132	0.4431867892
133	0.4429730918
134	0.4428378755
135	0.4426694169
136	0.4425618044
137	0.4424125535
138	0.4422546266
139	0.4421483138
140	0.4420489803
141	0.4419472595
142	0.4418181157
143	0.4416251397
144	0.4414602272
145	0.4413383139
146	0.4412116895
147	0.4410281675
148	0.4408899107
149	0.4407081471
150	0.4405936979
151	0.4404299167
152	0.4403088249
153	0.4401905168
154	0.4400886009
155	0.4399497965
156	0.4398547122
157	0.4397360567
158	0.4396247438
159	0.4395273294
160	0.4394273943
161	0.4392781001
162	0.4391501719
163	0.4390670903
164	0.4389583962
165	0.4388949928
166	0.438771761
167	0.4386038749
168	0.4384884798
169	0.4383926453
170	0.4382878974
171	0.438191178
172	0.4380648476
173	0.4378556696
174	0.4377490327
175	0.4376676633
176	0.4375119078
177	0.4374214682
178	0.4373180789
179	0.4372352649
180	0.4370706081
181	0.4369278898
182	0.4368114561
183	0.4367671017
184	0.4366408338
185	0.4365321521
186	0.4363718586
187	0.4361965233
188	0.4361025545
189	0.4360029221
190	0.4359145456
191	0.4357467313
192	0.4356333799
193	0.4355226192
194	0.435416205
195	0.4353078621
196	0.435235522
197	0.4351106185
198	0.4350139062
199	0.434898024
200	0.4348159694
201	0.4347461147
202	0.4346114271
203	0.4345543375
204	0.4344434271
205	0.4343143155
206	0.4341638657
207	0.4339930275
208	0.4339031736
209	0.4337654353
210	0.4337080882
211	0.433583456
212	0.4334741849
213	0.4333600502
214	0.4332480696
215	0.433114525
216	0.4330582394
217	0.4329294408
218	0.4328513273
219	0.4327626534
220	0.4326429953
221	0.4325602303
222	0.4324609653
223	0.4323510844
224	0.4321720911
225	0.4320603187
226	0.4319691509
227	0.4319203321
228	0.4318115818
229	0.4317957158
230	0.4316614003
231	0.4315603996
232	0.4314197242
233	0.4313397262
234	0.4312079508
235	0.4311115191
236	0.4310248046
237	0.4309404315
238	0.430882572
239	0.4308123529
240	0.4307408891
241	0.4306749521
242	0.4305767128
243	0.4304413394
244	0.4303545311
245	0.4302731021
246	0.4302117786
247	0.4300915623
248	0.4300310072
249	0.4299391442
250	0.4298593338
251	0.4296704893
252	0.4295443345
253	0.4294343271
254	0.4293187971
255	0.4291542469
256	0.4290174256
257	0.4289337769
258	0.4288616765
259	0.4287540213
260	0.4286366761
261	0.4285477406
262	0.4284262431
263	0.4283247044
264	0.428147224
265	0.4279895809
266	0.4279183498
267	0.4277184005
268	0.4276417967
269	0.4275444124
270	0.427480239
271	0.4273450079
272	0.4272282098
273	0.4271089109
274	0.427008237
275	0.4268844447
276	0.4267520963
277	0.4266934322
278	0.4266113959
279	0.4265108236
280	0.4263749813
281	0.4262464652
282	0.4261508823
283	0.4260811101
284	0.425991703
285	0.4258681906
286	0.4257402557
287	0.4256443197
288	0.425493531
289	0.4253993292
290	0.4252812304
291	0.4251747284
292	0.4250597959
293	0.4249530813
294	0.4248040186
295	0.4246789285
296	0.4245603369
297	0.4244227083
298	0.4243318467
299	0.4242232011
300	0.4240938038
301	0.4240095823
302	0.4238891862
303	0.4237495495
304	0.4236264512
305	0.4234924004
306	0.42340214
307	0.4232750666
308	0.423150843
309	0.4230502234
310	0.4229345614
311	0.4227816094
312	0.4226497046
313	0.4225706811
314	0.4224525366
315	0.422298741
316	0.4221594739
317	0.4220580821
318	0.4219827668
319	0.4219037195
320	0.4217859307
321	0.4216948553
322	0.421582204
323	0.421480446
324	0.4213932645
325	0.4212366122
326	0.421135076
327	0.4210457269
328	0.4209572408
329	0.4208566615
330	0.4207242508
331	0.4205952504
332	0.4204888588
333	0.420357284
334	0.420260195
335	0.4201738764
336	0.4200714524
337	0.4199514662
338	0.4198596955
339	0.4197650857
340	0.4196379749
341	0.4195583763
342	0.4194628944
343	0.4193640056
344	0.4192359822
345	0.4190853817
346	0.4190036631
347	0.4188791193
348	0.4187452943
349	0.4186510006
350	0.4185180934
351	0.4183817511
352	0.4182503049
353	0.4181460314
354	0.417961772
355	0.4178433164
356	0.4177193552
357	0.4176156694
358	0.4175196107
359	0.4174362942
360	0.4172691791
361	0.4171620762
362	0.4170537885
363	0.4168744248
364	0.4167753086
365	0.4166055735
366	0.4164432322
367	0.4163166226
368	0.4161888531
369	0.4161003965
370	0.4159976599
371	0.415900423
372	0.415799976
373	0.4156850069
374	0.4155501617
375	0.4154250961
376	0.4152989255
377	0.415159579
378	0.4150431574
379	0.4148963107
380	0.4147644708
381	0.4146856473
382	0.4145562236
383	0.414423712
384	0.4143047393
385	0.4141953891
386	0.4141029648
387	0.4140255273
388	0.4138591042
389	0.4137693466
390	0.413658241
391	0.4134853324
392	0.4133787849
393	0.4132721126
394	0.4131648996
395	0.4130179183
396	0.4128860923
397	0.412812161
398	0.4127029025
399	0.4125811669
400	0.4124635323
401	0.4123771344
402	0.4122241393
403	0.4120952327
404	0.4119976209
405	0.4118956102
406	0.4117686143
407	0.4116833852
408	0.4115804852
409	0.4114518477
410	0.4113637132
411	0.4112707336
412	0.4111937484
413	0.4110856823
414	0.4109972017
415	0.4109067056
416	0.4107820848
417	0.4106387316
418	0.4105591965
419	0.4104599739
420	0.4103269797
421	0.4102182523
422	0.4101517598
423	0.4100401137
424	0.4099261518
425	0.4098573802
426	0.40977319
427	0.4096564101
428	0.4095698371
429	0.4094710696
430	0.4093287794
431	0.4092065498
432	0.4090802344
433	0.4089557031
434	0.4088340135
435	0.4087014163
436	0.4085568434
437	0.4084098625
438	0.4082990977
439	0.4081733077
440	0.4080885136
441	0.4079517566
442	0.4078549397
443	0.4077437595
444	0.4075919352
445	0.4074782956
446	0.4073947444
447	0.4072767723
448	0.4072045163
449	0.4070345689
450	0.4069285828
451	0.4068230279
452	0.4067166745
453	0.4066682856
454	0.4065784867
455	0.406489381
456	0.4064019759
457	0.406320887
458	0.4061880404
459	0.4060546145
460	0.4058967382
461	0.4057797356
462	0.4056784739
463	0.4055946249
464	0.4054770438
465	0.4053842092
466	0.405261153
467	0.4051474937
468	0.4050407683
469	0.4049130496
470	0.4048045768
471	0.4046900809
472	0.4046184081
473	0.404472495
474	0.4043027193
475	0.404204379
476	0.4041176144
477	0.4040053527
478	0.4038993586
479	0.4038266816
480	0.403739135
481	0.4036519999
482	0.4035268468
483	0.403406997
484	0.4033253037
485	0.4031961047
486	0.4031119926
487	0.4029879971
488	0.4029180944
489	0.4028235172
490	0.4027223728
491	0.4026361554
492	0.4025234858
493	0.4024424744
494	0.4023228585
495	0.402211785
496	0.4021252493
497	0.4020351335
498	0.401942397
499	0.4018535147
500	0.4017536997
501	0.4016552352
502	0.40156887
503	0.4014502448
